Sample ID,Country,Location,Year,Month,Latitude,Longitude,Sex
AB0293-C,Cameroon,Doulougou,2005,-1,"10,425","14,242",F
AB0294-C,Cameroon,Doulougou,2005,-1,"10,425","14,242",F
AB0295-C,Cameroon,Doulougou,2005,-1,"10,425","14,242",F
AB0297-C,Cameroon,Moussourtouk,2005,-1,"10,342","14,236",F
AN0007-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0008-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0009-C,Cameroon,Mayos,2009,9,"4,341","13,558",F
AN0010-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0011-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0012-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0013-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0014-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0015-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0016-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0017-Cx,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0018-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0019-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0020-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0021-C,Cameroon,Mayos,2009,9,"4,341","13,558",Undefined
AN0022-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",M
AN0023-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",M
AN0024-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",M
AN0025-Cx,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0026-Cx,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0027-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0028-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0029-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0030-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0031-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0032-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0033-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0034-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",M
AN0035-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",M
AN0036-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",M
AN0037-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0038-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0039-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",F
AN0040-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0041-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0042-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0043-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0044-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0045-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0046-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0047-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0048-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0049-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0050-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0051-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
